category,prop_a,prop_b,diff,ci_lower,ci_upper,p_value,p_adjusted,significant
Social equity and justice,0.015217391304347827,0.026830631637786474,-0.011613240333438647,-0.02095954245586363,-0.0022669382110136645,0.014580928746070088,0.3791041473978223,False
Ethical responsibility,0.09402173913043478,0.11738401341531582,-0.023362274284881038,-0.04336990893292624,-0.0033546396368358336,0.02201717290197225,0.5724464954512785,False
Artistic expression and appreciation,0.022282608695652174,0.019005030743432086,0.0032775779522200878,-0.005969972323355485,0.01252512822779566,0.48777061171145797,1.0,False
Security and stability,0.02608695652173913,0.03130240357741755,-0.005215447055678422,-0.016085261223263557,0.005654367111906715,0.3464680637381663,1.0,False
Protection of people and environment,0.06684782608695652,0.06316377864728899,0.0036840474396675343,-0.012356360528103506,0.019724455407438574,0.6527311095416997,1.0,False
Protecting vulnerable entities,0.008695652173913044,0.0072666294019005035,0.0014290227720125401,-0.004357727647367718,0.007215773191392798,0.6288197920723115,1.0,False
Protecting human rights and dignity,0.034782608695652174,0.03577417551704863,-0.000991566821396457,-0.012998238473264647,0.011015104830471733,0.8713899857633001,1.0,False
Professional and technical excellence,0.044021739130434785,0.0368921185019564,0.007129620628478384,-0.005682685198251549,0.019941926455208314,0.27607310309876887,1.0,False
Professional advancement,0.0016304347826086956,0.0016769144773616546,-4.6479694752959034e-05,-0.0026909328445196283,0.0025979734550137103,0.9725137699439041,1.0,False
Pleasure and enjoyment,0.021195652173913043,0.019005030743432086,0.0021906214304809567,-0.00693881218947843,0.011320055050440344,0.6384054777881862,1.0,False
Personal growth and wellbeing,0.05597826086956522,0.049189491335941866,0.006788769533623354,-0.00772859460658702,0.02130613367383373,0.35985103766440574,1.0,False
Methodical rigor,0.04021739130434782,0.03409726103968697,0.00612013026466085,-0.006180538564597897,0.018420799093919596,0.3300777630592877,1.0,False
Knowledge development,0.025,0.022358859698155393,0.0026411403018446085,-0.007249554869735579,0.012531835473424796,0.6010056387040155,1.0,False
Intellectual integrity and objectivity,0.11358695652173913,0.1257685858021241,-0.012181629280384978,-0.03330741153822875,0.008944152977458795,0.25819754322787647,1.0,False
Ethical interaction,0.11847826086956521,0.11011738401341531,0.008360876856149904,-0.01233841979320385,0.029060173505503658,0.42879951694226026,1.0,False
Emotional depth and authentic connection,0.016304347826086956,0.0184460592509782,-0.0021417114248912447,-0.010648319118886054,0.006364896269103564,0.6214020653811909,1.0,False
Efficiency and resource optimization,0.03369565217391304,0.027948574622694244,0.0057470775512187995,-0.005491845736515457,0.016986000838953054,0.31690999150736765,1.0,False
Cultural respect and tradition,0.00923913043478261,0.008384572386808273,0.0008545580479743364,-0.005225222134015595,0.006934338229964268,0.7830868771908481,1.0,False
Critical thinking,0.017391304347826087,0.0184460592509782,-0.0010547549031521136,-0.009689290324405712,0.007579780518101485,0.8107058920849748,1.0,False
Compliance and accountability,0.05543478260869565,0.05254332029066518,0.0028914623180304744,-0.01181277370940524,0.01759569834546619,0.7000406897925497,1.0,False
Community and relationship bonds,0.042391304347826085,0.040804918949133594,0.0015863853986924914,-0.011405704988992977,0.01457847578637796,0.8109070091221513,1.0,False
Clarity and precision,0.09347826086956522,0.09167132476243711,0.001806936107128107,-0.017053443584232306,0.02066731579848852,0.8510709679644206,1.0,False
Business effectiveness,0.023369565217391305,0.0184460592509782,0.004923505966413104,-0.0043785137782858755,0.014225525711112083,0.300404826105118,1.0,False
Authentic moral identity,0.004891304347826087,0.006148686416992733,-0.001257382069166646,-0.0060826855038855505,0.0035679213655522585,0.6089838783259685,1.0,False
Spiritual fulfillment and meaning,0.007065217391304348,0.005589714924538848,0.0014755024667654996,-0.0036802420748445735,0.006631247008375573,0.575494653582274,1.0,False
Well-functioning social systems and organizations,0.008695652173913044,0.011738401341531582,-0.003042749167618538,-0.009593022156778742,0.0035075238215416674,0.3616472769146011,1.0,False
