category,prop_a,prop_b,diff,ci_lower,ci_upper,p_value,p_adjusted,significant
Social equity and justice,0.015494636471990465,0.026830631637786474,-0.011335995165796009,-0.020874815427228778,-0.0017971749043632409,0.021000872427638928,0.5460226831186121,False
Artistic expression and appreciation,0.018474374255065554,0.019005030743432086,-0.0005306564883665321,-0.009560909442059222,0.008499596465326158,0.9083464496179594,1.0,False
Security and stability,0.02800953516090584,0.03130240357741755,-0.0032928684165117114,-0.014581669090513205,0.007995932257489782,0.5682048296062066,1.0,False
Protection of people and environment,0.060786650774731825,0.06316377864728899,-0.002377127872557165,-0.018432123948912315,0.013677868203797985,0.7717967646497936,1.0,False
Protecting vulnerable entities,0.005363528009535161,0.0072666294019005035,-0.0019031013923653424,-0.007166456982211884,0.003360254197481199,0.4806638164644641,1.0,False
Protecting human rights and dignity,0.03396901072705602,0.03577417551704863,-0.001805164789992611,-0.0140196040552681,0.010409274475282879,0.7722545200480804,1.0,False
Professional and technical excellence,0.04529201430274136,0.0368921185019564,0.008399895800784957,-0.004839660889765323,0.021639452491335236,0.21234957686746725,1.0,False
Professional advancement,0.0029797377830750892,0.0016769144773616546,0.0013028233057134346,-0.0019214524789266548,0.004527099090353524,0.424294108988335,1.0,False
Pleasure and enjoyment,0.023837902264600714,0.019005030743432086,0.004832871521168628,-0.004826563936911927,0.014492306979249183,0.3251373132341351,1.0,False
Personal growth and wellbeing,0.05125148986889154,0.049189491335941866,0.002061998532949673,-0.012489443615793917,0.016613440681693264,0.7810854962050624,1.0,False
Methodical rigor,0.04231227651966627,0.03409726103968697,0.008215015479979298,-0.004571174186599861,0.02100120514655846,0.2065387847346143,1.0,False
Knowledge development,0.02562574493444577,0.022358859698155393,0.0032668852362903768,-0.006935998823952299,0.013469769296533053,0.5294371572177259,1.0,False
Intellectual integrity and objectivity,0.12216924910607867,0.1257685858021241,-0.003599336696045438,-0.025544907726917084,0.018346234334826208,0.7479644472495472,1.0,False
Ethical responsibility,0.11323003575685339,0.11738401341531582,-0.004153977658462427,-0.02542213743410315,0.017114182117178297,0.702009591244483,1.0,False
Ethical interaction,0.12395709177592372,0.11011738401341531,0.01383970776250841,-0.007584900291249835,0.035264315816266656,0.20484421381780926,1.0,False
Emotional depth and authentic connection,0.013706793802145411,0.0184460592509782,-0.00473926544883279,-0.013095516942036159,0.0036169860443705792,0.2686172830545366,1.0,False
Efficiency and resource optimization,0.02800953516090584,0.027948574622694244,6.096053821159561e-05,-0.010923672250940658,0.011045593327363849,0.9913212427343696,1.0,False
Cultural respect and tradition,0.0059594755661501785,0.008384572386808273,-0.0024250968206580943,-0.008029980530854176,0.003179786889537987,0.3990068157354274,1.0,False
Critical thinking,0.02026221692491061,0.0184460592509782,0.0018161576739324087,-0.0073666815200778436,0.010998996867942661,0.6978685434414635,1.0,False
Compliance and accountability,0.06197854588796186,0.05254332029066518,0.009435225597296683,-0.006056394095951316,0.02492684529054468,0.23152556755439835,1.0,False
Community and relationship bonds,0.043504171632896306,0.040804918949133594,0.0026992526837627123,-0.010691243991911,0.016089749359436425,0.6924979377853278,1.0,False
Clarity and precision,0.08164481525625746,0.09167132476243711,-0.010026509506179657,-0.028746759750188217,0.008693740737828904,0.2947188193386223,1.0,False
Business effectiveness,0.01728247914183552,0.0184460592509782,-0.0011635801091426819,-0.0099816927574268,0.007654532539141437,0.7961315268776032,1.0,False
Authentic moral identity,0.004767580452920143,0.006148686416992733,-0.0013811059640725905,-0.006278463345661298,0.003516251417516117,0.5819874998990464,1.0,False
Spiritual fulfillment and meaning,0.003575685339690107,0.005589714924538848,-0.002014029584848741,-0.006496449527555229,0.002468390357857747,0.3818990377313387,1.0,False
Well-functioning social systems and organizations,0.006555423122765197,0.011738401341531582,-0.005182978218766385,-0.011493176366843376,0.0011272199293106055,0.11074639853445434,1.0,False
